campaign_id,campaign_name,start_date,end_date
NULL,###BAD###,2024-06-02,2024-12-10
NULL,Campaign_2,2024-08-12,N/A
CAMP0003,Campaign_3,2023-12-24,9999-99-99
CAMP0004,###BAD###,2023-04-28,123abc
CAMP0005,Campaign_5,null,2024-09-16
CAMP0006,Campaign_6,2023-08-28,2025-08-16
not_a_date,Campaign_7,@@@,NULL
CAMP0008,Campaign_8,,N/A
CAMP0009,nan,2023-07-05,null
CAMP0010,Campaign_10,2023-12-15, 
CAMP0011,nan,2024-02-02,2024-09-30
CAMP0012,Campaign_12,2024-01-25,2024-12-27
123abc,not_a_date,2023-01-21,2025-07-16
9999-99-99,,not_a_date,2025-03-19
CAMP0015,###BAD###,2024-08-17,2025-02-13
,,2024-07-06,@@@
@@@,@@@,2023-01-01,2024-11-28
,Campaign_18,2023-12-08,123abc
CAMP0019,Campaign_19,2024-05-17,2025-06-21
CAMP0020,123abc,2024-07-04,###BAD###
NULL,Campaign_2,2024-08-12,N/A
123abc,not_a_date,2023-01-21,2025-07-16
CAMP0008,Campaign_8,,N/A
CAMP0009,nan,2023-07-05,null
,,2024-07-06,@@@
invalid,,,
###BAD###,,invalid,###BAD###
,not_a_date,not_a_date,
not_a_date,###BAD###,invalid,
,invalid,,
