order_id,product_id,quantity,unit_price,total_price
32-13-2025,P00133,32-13-2025,1386.39,1386.39
O0000002,P00078,1,###BAD###,3232.01
 ,P00185,9999-99-99,3478.29,3478.29
O0000002,,invalid,2619.54,NULL
,123abc,9999-99-99,348.72,697.44
@@@,@@@,3,NULL,9381.15
 ,P00141,not_a_date,1517.84,4553.52
32-13-2025,N/A,1,@@@,2629.64
nan,P00104,N/A,656.96,656.96
NULL,P00259,1,32-13-2025,null
O0000008,not_a_date,32-13-2025,2689.37,32-13-2025
N/A,nan,1,9999-99-99,60.87
O0000009,P00038,@@@,4360.45,null
O0000010,invalid,1,3620.35,3620.35
O0000010,null,1,788.27,not_a_date
O0000011,P00094,1,###BAD###,123abc
O0000012,P00196,1,583.44,583.44
9999-99-99,P00038,1,4589.95,4589.95
O0000012,,1,410.75, 
O0000013,P00189,1,54.78,54.78
nan,P00042,1,null,N/A
O0000014, ,1,440.83,NULL
O0000015,P00081,1,1527.46,N/A
O0000016,P00162,1,2197.12,2197.12
O0000017,P00172,not_a_date,N/A,
not_a_date,P00264,1,167.58,167.58
invalid,@@@,2,not_a_date,8331.1
O0000020,nan,1,invalid,492.54
O0000021,32-13-2025,null,NULL,492.54
O0000022,P00087,1,,invalid
O0000023,nan,2,1686.49,3372.98
O0000024,NULL,,3641.67,3641.67
###BAD###,P00284,@@@,755.15,not_a_date
invalid,invalid,1,1363.06,invalid
32-13-2025,P00192,2,invalid,8236.2
O0000027,123abc,1,null,2687.75
N/A,P00254,invalid,not_a_date,1960.09
O0000029,null,123abc,1786.27,9999-99-99
O0000030,P00057,123abc,@@@,@@@
O0000031,NULL,2,NULL,null
N/A,P00123,1,137.44,###BAD###
O0000033,P00290,1,3095.42,3095.42
N/A,P00108,1,9999-99-99,1361.19
O0000034,not_a_date,not_a_date,1030.44,2060.88
null,123abc,1,1404.3,1404.3
O0000035,invalid,3,869.14,2607.42
NULL,not_a_date,1,N/A,659.93
O0000036,9999-99-99,1,249.89,invalid
O0000036,P00052,1,4377.47,
O0000037,,@@@,4039.91,4039.91
N/A,###BAD###,1,NULL,N/A
@@@,P00229,2,nan,3346.28
nan,32-13-2025,123abc,1386.39, 
O0000041,###BAD###,1,2143.76,2143.76
N/A,###BAD###,1,729.96, 
 ,invalid,9999-99-99,4230.72,4230.72
N/A,invalid,1,576.72,576.72
O0000044,32-13-2025,invalid,2396.24,123abc
O0000045,P00079,1,2943.21,@@@
O0000046,P00181,2,2629.64,not_a_date
O0000047,P00095,1,3717.55,3717.55
,P00130,1,1835.65,NULL
O0000049,P00081,1,1451.09,1451.09
O0000050,9999-99-99,1,123abc,3250.48
O0000051,invalid,1,N/A,N/A
O0000051,,9999-99-99,262.77,262.77
O0000051,null,2,2357.59,4715.18
O0000052,P00272,invalid,4179.46,not_a_date
O0000052,P00184,@@@,4278.83,4278.83
 ,nan,1,1678.74,1678.74
O0000053,123abc,not_a_date,275.31,@@@
O0000054,P00261,1,2862.94,2862.94
null,invalid,1,@@@,N/A
O0000055,P00154,NULL,@@@,2031.24
null,invalid,1,617.87,617.87
NULL,,1,1430.28,1430.28
9999-99-99,32-13-2025,1,123abc,3037.71
O0000058,9999-99-99,N/A,4179.46,4179.46
O0000059,P00042,1,4396.97,4396.97
O0000060,P00056,,3717.68,@@@
9999-99-99,nan,1,521.45,@@@
null,9999-99-99, ,2394.17, 
O0000063,9999-99-99,invalid,155.06,32-13-2025
O0000063,P00248,1,123abc,N/A
not_a_date,P00185,9999-99-99,NULL,4092.11
O0000065,P00062,,300.27,300.27
O0000066,N/A,1,3344.38, 
O0000067,P00057, ,3908.34,3908.34
O0000068,P00014,1,null,2306.25
N/A,invalid,nan,123abc,null
O0000069,P00268,1,3169.58,3169.58
9999-99-99, ,1,not_a_date,###BAD###
123abc,9999-99-99,2,3314.14,6628.28
O0000070,NULL,nan,886.47,###BAD###
123abc,P00251,,@@@,4074.53
O0000071,P00262,1,4186.54,4186.54
O0000072,P00045,###BAD###,2737.44,32-13-2025
O0000073,P00220,invalid,32-13-2025,797.31
O0000074,NULL,1,32-13-2025,946.62
O0000074,P00154,1,1726.55,32-13-2025
O0000075,P00252,1,null,1256.94
nan,P00092,1,32-13-2025,nan
O0000076,P00192,1,9999-99-99,invalid
nan,,1,3746.43,3746.43
9999-99-99,NULL,1,4106.24,4106.24
O0000077,nan,9999-99-99,1098.1,1098.1
nan,P00081,1,nan,1527.46
O0000079,,###BAD###,invalid,2427.63
O0000080,P00026,nan,,1803.9
O0000081,@@@,1,9999-99-99,1043.2
null,P00021,1,null,123abc
O0000082,P00058,1,123abc,@@@
 ,P00246,1,N/A,2738.25
null,P00094,32-13-2025,invalid,946.62
not_a_date,N/A,1,null,2035.04
O0000086,P00001,1,4006.01,4006.01
O0000087,P00279,null,NULL,NULL
O0000087,nan,2,1637.14,3274.28
NULL,P00139,nan,1511.99,1511.99
O0000089,P00233,123abc,9999-99-99,6439.22
O0000089,invalid,,@@@,2851.93
O0000090,P00293,1,1541.89,1541.89
O0000091,P00104,1,NULL,NULL
32-13-2025,123abc,1,1357.42,@@@
O0000092,N/A,1,9999-99-99,2929.08
invalid,123abc,1,null,4335.93
O0000093,P00279,1,4070.73,4070.73
nan,P00123,1,122.97,122.97
O0000095,P00024,not_a_date,NULL,1889.31
null,invalid,N/A,2046.8, 
nan,invalid,1,NULL,1408.74
O0000097,P00202,1,3300.77,3300.77
O0000098,P00173,1,4135.93,nan
O0000099,P00289,1,3206.1,3206.1
O0000100,P00233,2,3219.61,not_a_date
O0000101,123abc,1,4136.9,4136.9
 ,P00033,3,235.13,###BAD###
